Index,Agency Name,Programme Name,Primary Service User,Primary Service Type,Number of service users,Programme expenditure (range)
318,Helping Network,Therapy Programme 3,Children & Youth,Academic support,194,"$200,000 to $500,000"
319,Support Initiative,Assistance Scheme 94,Children & Youth,After-School Care,277,"$100,000 to $200,000"
320,Harmony Society,Social Programme 21,Adults,Work & career,120,"$200,000 to $500,000"
321,Hope Society,Care Services 5,Children & Youth,Academic support,24,"$20,000 to $50,000"
322,Grace Collective,Education Programme 88,Adults,Work & career,32,"$20,000 to $50,000"
323,Sunshine Group,Therapy Programme 21,Children & Youth,Academic support,196,">$500,000"
324,Hope Council,Care Services 87,Adults,Families & parenting,27,"$50,000 to $100,000"
325,Senior Mission,Outreach Programme 77,Adults,Work & career,39,"$20,000 to $50,000"
326,Support Network,Development Programme 60,Children & Youth,Academic support,26528,">$500,000"
327,Haven Charity,Intervention Programme 39,Seniors,Financial & material assistance,5,"$10,000 to $20,000"
328,New Mission,Intervention Programme 25,Adults,Financial & material assistance,80,"$10,000 to $20,000"
329,Singapore Mission,Financial Aid Programme 38,Children & Youth,Personal development,428,"$200,000 to $500,000"
330,Bright Outreach,Rehabilitation Programme 82,Children & Youth,At-risk youth engagement,310,"$200,000 to $500,000"
331,Youth Welfare Society,Wellness Programme 95,Children & Youth,Mental health,144,">$500,000"
332,Harmony Council,Intervention Programme 54,Children & Youth,At-risk youth engagement,288,"$100,000 to $200,000"
333,Hope Care Centre,Education Programme 88,Children & Youth,Academic support,496,"$100,000 to $200,000"
334,Rainbow Community Services,Wellness Programme 41,Seniors,Social isolation,6,"<$10,000"
335,Haven Society,Support Programme 58,Children & Youth,Personal development,50,"$20,000 to $50,000"
336,Senior Charity,Skills Programme 82,Children & Youth,Personal development,25622,">$500,000"
337,Singapore Initiative,Social Programme 25,Adults,Mental health,178,"$200,000 to $500,000"
338,Compassion Care Centre,Intervention Programme 22,Adults,Financial & material assistance,199,">$500,000"
339,Circle Association,Community Programme 63,Children & Youth,Academic support,466,"$200,000 to $500,000"
340,Hope Foundation,Social Programme 22,Adults,Sector training,70,"$100,000 to $200,000"
341,Community Outreach,Education Programme 84,Adults,Housing & shelter,8,"<$10,000"
342,New Welfare Society,Wellness Programme 27,Seniors,Health & medical,266,"$200,000 to $500,000"
343,Bridge Association,Skills Programme 14,Seniors,After-School Care,109,"$200,000 to $500,000"
344,Grace Trust,Therapy Programme 91,Children & Youth,After-School Care,3,"<$10,000"
345,Bright Foundation,Support Programme 86,Adults,Social isolation,44346,"$200,000 to $500,000"
346,New Mission,Care Services 59,Children & Youth,Mental health,4,"<$10,000"
347,Circle Initiative,Skills Programme 95,Adults,Health & medical,49,"$20,000 to $50,000"
348,Harmony Community Services,Assistance Scheme 94,Adults,Mental health,109,"$200,000 to $500,000"
349,Helping Hub,Outreach Programme 15,Adults,Work & career,483,"$200,000 to $500,000"
350,Circle Community Services,Outreach Programme 79,Children & Youth,Personal development,492,"$200,000 to $500,000"
351,Wellness Community Services,Training Initiative 9,Children & Youth,After-School Care,495,"$50,000 to $100,000"
352,Grace Care Centre,Education Programme 56,Seniors,Social isolation,390,"$100,000 to $200,000"
353,Haven Organization,Social Programme 61,Children & Youth,Academic support,302,">$500,000"
354,Grace Council,Rehabilitation Programme 83,Children & Youth,Mental health,286,">$500,000"
355,Support Initiative,Education Programme 64,Seniors,Social isolation,262,"$200,000 to $500,000"
356,Bridge Charity,Intervention Programme 66,Seniors,Families & parenting,43,"$50,000 to $100,000"
357,Support Initiative,Rehabilitation Programme 99,Seniors,Caregiving support,24309,">$500,000"
358,Singapore Initiative,Therapy Programme 82,Children & Youth,Mental health,105,">$500,000"
359,Youth Network,Development Programme 25,Adults,Migrant worker support,285,">$500,000"
360,Haven Outreach,Education Programme 99,Children & Youth,Academic support,309,">$500,000"
361,Wellness Limited,Financial Aid Programme 66,Adults,After-School Care,468,"$100,000 to $200,000"
362,Compassion Hub,Care Services 36,Children & Youth,Academic support,30178,">$500,000"
363,Golden Support Services,Development Programme 26,Adults,Families & parenting,227,">$500,000"
364,Sunshine Mission,Community Programme 91,Adults,Mental health,349,">$500,000"
365,Singapore Care Centre,Education Programme 4,Children & Youth,Personal development,43,"$10,000 to $20,000"
366,Circle Network,Wellness Programme 8,Seniors,Health & medical,328,">$500,000"
367,Circle Support Services,Care Services 96,Seniors,Academic support,452,"$200,000 to $500,000"
368,Compassion Hub,Community Programme 71,Adults,Financial & material assistance,17,"$20,000 to $50,000"
369,Rainbow Support Services,Development Programme 100,Seniors,Caregiving support,141,">$500,000"
370,Youth Collective,Training Initiative 55,Children & Youth,Early childhood,350,"$200,000 to $500,000"
371,Community Association,Community Programme 77,Adults,Health & medical,482,"$200,000 to $500,000"
372,Golden Care Centre,Care Services 24,Seniors,Work & career,33,"$50,000 to $100,000"
373,Harmony Council,Development Programme 85,Children & Youth,Personal development,436,">$500,000"
374,Circle Group,Health Programme 31,Seniors,Caregiving support,71,"$50,000 to $100,000"
375,New Support Services,Intervention Programme 4,Seniors,Early childhood,462,"$200,000 to $500,000"
376,Haven Trust,Community Programme 66,Adults,Mental health,446,">$500,000"
377,Circle Mission,Development Programme 88,Children & Youth,At-risk youth engagement,475,"$200,000 to $500,000"
378,Singapore Community Services,Community Programme 5,Adults,Mental health,12,"$10,000 to $20,000"
379,Wellness Collective,Health Programme 81,Children & Youth,At-risk youth engagement,395,"$200,000 to $500,000"
380,Community Services,Therapy Programme 65,Adults,Crisis & safety,44,"$50,000 to $100,000"
381,Compassion Collective,Support Programme 61,Adults,Work & career,251,"$200,000 to $500,000"
382,Circle Mission,Therapy Programme 2,Seniors,Social isolation,72,"$50,000 to $100,000"
383,Sunshine Services,Intervention Programme 27,Seniors,Health & medical,14377,">$500,000"
384,Bright Charity,Assistance Scheme 25,Adults,Social isolation,37,"$100,000 to $200,000"
385,Circle Services,Assistance Scheme 13,Adults,Financial & material assistance,220,">$500,000"
386,United Charity,Counselling Services 25,Children & Youth,Academic support,388,">$500,000"
387,Wellness Organization,Support Programme 41,Adults,Mental health,42498,"$200,000 to $500,000"
388,Helping Community Services,Health Programme 46,Children & Youth,Social isolation,381,"$100,000 to $200,000"
389,Hope Network,Counselling Services 94,Adults,Work & career,41895,">$500,000"
390,Hope Society,Rehabilitation Programme 34,Seniors,Social isolation,385,"$200,000 to $500,000"
391,United Association,Health Programme 65,Seniors,Personal development,24,"$50,000 to $100,000"
392,Circle Organization,Social Programme 18,Children & Youth,Personal development,37,"$20,000 to $50,000"
393,Community Council,Financial Aid Programme 30,Adults,Work & career,15,"$20,000 to $50,000"
394,Helping Community Services,Training Initiative 6,Seniors,Financial & material assistance,34669,">$500,000"
395,Sunshine Limited,Outreach Programme 49,Seniors,Caregiving support,478,">$500,000"
396,Grace Collective,Therapy Programme 45,Children & Youth,Personal development,933,"$200,000 to $500,000"
397,Family Care Centre,Assistance Scheme 28,Adults,Health & medical,24,"$50,000 to $100,000"
398,Golden Centre,Financial Aid Programme 87,Children & Youth,Academic support,382,">$500,000"
399,Rainbow Limited,Outreach Programme 18,Seniors,After-School Care,10125,">$500,000"
400,Compassion Charity,Support Programme 93,Seniors,Personal development,94,"$100,000 to $200,000"
401,Care Council,Skills Programme 77,Adults,Academic support,12420,"$200,000 to $500,000"
402,Support Charity,Counselling Services 30,Children & Youth,After-School Care,154,"$200,000 to $500,000"
403,Bridge Centre,Outreach Programme 61,Seniors,Caregiving support,35328,">$500,000"
404,Bridge Support Services,Support Programme 100,Seniors,After-School Care,240,">$500,000"
405,Compassion Group,Education Programme 55,Adults,Health & medical,50,"$10,000 to $20,000"
406,Hope Foundation,Support Programme 74,Seniors,End-of-life planning,1,"$20,000 to $50,000"
407,Harmony Centre,Wellness Programme 55,Seniors,Health & medical,325,">$500,000"
408,Hope Hub,Rehabilitation Programme 72,Children & Youth,Caregiving support,36,"$50,000 to $100,000"
409,Harmony Collective,Wellness Programme 85,Adults,Families & parenting,409,"$200,000 to $500,000"
410,Sunshine Charity,Training Initiative 21,Children & Youth,Academic support,97,"$20,000 to $50,000"
411,Family Network,Care Services 48,Adults,Families & parenting,26757,"$100,000 to $200,000"
412,Haven Welfare Society,Health Programme 2,Adults,Financial & material assistance,34458,"$200,000 to $500,000"
413,Care Outreach,Training Initiative 47,Adults,Health & medical,6192,">$500,000"
414,Rainbow Trust,Social Programme 2,Seniors,Social isolation,36519,"$200,000 to $500,000"
415,New Council,Development Programme 59,Children & Youth,Mental health,259,"$200,000 to $500,000"
416,United Initiative,Education Programme 66,Children & Youth,Personal development,38177,">$500,000"
417,Golden Community Services,Health Programme 76,Adults,Mental health,246,"$100,000 to $200,000"
418,Wellness Group,Social Programme 69,Adults,Health & medical,198,"$200,000 to $500,000"
419,Sunshine Organization,Financial Aid Programme 41,Children & Youth,Reintegration,37,"$20,000 to $50,000"
420,Hope Council,Care Services 34,Adults,Families & parenting,16,"$10,000 to $20,000"
421,Family Outreach,Financial Aid Programme 79,Adults,Mental health,72,"$50,000 to $100,000"
422,Rainbow Network,Financial Aid Programme 24,Seniors,Health & medical,15,"$20,000 to $50,000"
423,Sunshine Society,Social Programme 45,Children & Youth,Academic support,30463,">$500,000"
424,Singapore Outreach,Development Programme 49,Seniors,Health & medical,24,"$100,000 to $200,000"
425,New Welfare Society,Community Programme 47,Adults,Health & medical,409,"$200,000 to $500,000"
426,Care Limited,Wellness Programme 74,Seniors,Health & medical,7,"$10,000 to $20,000"
427,Hope Association,Wellness Programme 61,Adults,Work & career,32,"$100,000 to $200,000"
428,United Network,Rehabilitation Programme 73,Adults,Work & career,81,"$10,000 to $20,000"
429,Golden Network,Therapy Programme 47,Seniors,Health & medical,23054,">$500,000"
430,Hope Limited,Rehabilitation Programme 23,Children & Youth,After-School Care,300,"$50,000 to $100,000"
431,United Community Services,Wellness Programme 22,Seniors,Families & parenting,374,"$200,000 to $500,000"
432,Care Initiative,Care Services 41,Children & Youth,After-School Care,40175,">$500,000"
433,Rainbow Care Centre,Health Programme 53,Adults,Financial & material assistance,2,"$10,000 to $20,000"
434,Hope Organization,Mentoring Programme 14,Adults,Work & career,31,"$10,000 to $20,000"
435,Family Centre,Assistance Scheme 80,Adults,Legal aid,25,"$100,000 to $200,000"
436,Haven Association,Wellness Programme 68,Adults,Financial & material assistance,43,"$20,000 to $50,000"
437,New Support Services,Health Programme 18,Seniors,Mental health,284,"$200,000 to $500,000"
438,Helping Support Services,Care Services 12,Children & Youth,Academic support,130,"$100,000 to $200,000"
439,United Welfare Society,Rehabilitation Programme 2,Seniors,Disability support,31766,">$500,000"
440,Bright Foundation,Rehabilitation Programme 48,Adults,Mental health,253,"$100,000 to $200,000"
441,Bright Network,Counselling Services 55,Seniors,Social isolation,49,"$50,000 to $100,000"
442,Hope Services,Outreach Programme 18,Children & Youth,Academic support,30,"$10,000 to $20,000"
443,Golden Foundation,Wellness Programme 7,Seniors,Housing & shelter,7,"<$10,000"
444,Bright Services,Wellness Programme 2,Children & Youth,At-risk youth engagement,27,"$20,000 to $50,000"
445,Golden Services,Wellness Programme 8,Children & Youth,Academic support,291,"$100,000 to $200,000"
446,Youth Council,Mentoring Programme 99,Children & Youth,Financial & material assistance,3,"$20,000 to $50,000"
447,Circle Trust,Financial Aid Programme 50,Seniors,Caregiving support,10895,"$200,000 to $500,000"
448,Helping Mission,Intervention Programme 26,Children & Youth,At-risk youth engagement,14773,"$200,000 to $500,000"
449,Singapore Organization,Assistance Scheme 75,Adults,Work & career,72,"$100,000 to $200,000"
450,Family Council,Outreach Programme 64,Adults,Mental health,439,"$50,000 to $100,000"
451,Sunshine Centre,Wellness Programme 63,Adults,Work & career,381,"$50,000 to $100,000"
452,Compassion Group,Wellness Programme 33,Adults,Work & career,201,"$200,000 to $500,000"
453,Harmony Initiative,Health Programme 36,Seniors,Caregiving support,86,"$100,000 to $200,000"
454,Sunshine Group,Health Programme 1,Seniors,Migrant worker support,1727,"$200,000 to $500,000"
455,Family Outreach,Rehabilitation Programme 50,Adults,Work & career,333,"$200,000 to $500,000"
456,Haven Initiative,Education Programme 13,Seniors,Financial & material assistance,117,"$100,000 to $200,000"
457,Hope Centre,Training Initiative 74,Seniors,Financial & material assistance,320,"$200,000 to $500,000"
458,Bright Charity,Counselling Services 2,Adults,Families & parenting,5741,">$500,000"
459,Community Charity,Assistance Scheme 68,Adults,Work & career,5608,">$500,000"
460,Sunshine Collective,Development Programme 25,Seniors,Families & parenting,142,"$100,000 to $200,000"
461,Harmony Outreach,Health Programme 90,Seniors,Crisis & safety,456,"$200,000 to $500,000"
462,Sunshine Charity,Health Programme 46,Children & Youth,Legal aid,24862,">$500,000"
463,Bright Limited,Rehabilitation Programme 28,Children & Youth,Early childhood,17152,"$100,000 to $200,000"
464,Community Alliance,Support Programme 67,Adults,Work & career,204,"$200,000 to $500,000"
465,Sunshine Care Centre,Rehabilitation Programme 74,Seniors,Financial & material assistance,3,"<$10,000"
466,Harmony Limited,Care Services 30,Children & Youth,Academic support,255,">$500,000"
467,Helping Organization,Financial Aid Programme 89,Seniors,End-of-life planning,39510,">$500,000"
468,Community Initiative,Therapy Programme 56,Children & Youth,Personal development,445,"$100,000 to $200,000"
469,United Care Centre,Training Initiative 41,Seniors,Health & medical,408,">$500,000"
470,Bridge Limited,Social Programme 12,Adults,Mental health,10201,">$500,000"
471,Community Support Services,Mentoring Programme 34,Adults,Work & career,408,"$200,000 to $500,000"
472,Compassion Mission,Development Programme 72,Seniors,Mental health,175,">$500,000"
473,Family Centre,Skills Programme 55,Children & Youth,Personal development,355,"$50,000 to $100,000"
474,Bridge Community Services,Wellness Programme 57,Adults,Mental health,401,">$500,000"
475,Community Council,Wellness Programme 37,Adults,Legal aid,20497,">$500,000"
476,Sunshine Trust,Development Programme 70,Seniors,Health & medical,369,"$200,000 to $500,000"
477,Rainbow Outreach,Social Programme 6,Children & Youth,Personal development,19,"$20,000 to $50,000"
478,Haven Foundation,Counselling Services 50,Seniors,Caregiving support,43,"$20,000 to $50,000"
479,Bright Collective,Social Programme 91,Adults,Health & medical,356,"$50,000 to $100,000"
480,Support Support Services,Support Programme 6,Adults,Work & career,301,">$500,000"
481,Harmony Mission,Intervention Programme 31,Seniors,Health & medical,4,"$10,000 to $20,000"
482,New Council,Wellness Programme 44,Children & Youth,Personal development,246,"$200,000 to $500,000"
483,Bright Limited,Wellness Programme 55,Children & Youth,Personal development,328,"$200,000 to $500,000"
484,Sunshine Outreach,Development Programme 18,Children & Youth,Financial & material assistance,9364,"$200,000 to $500,000"
485,Family Support Services,Rehabilitation Programme 93,Adults,Families & parenting,10,"<$10,000"
486,United Community Services,Assistance Scheme 20,Adults,Health & medical,12,"$20,000 to $50,000"
487,Rainbow Charity,Care Services 77,Adults,Personal development,2,"<$10,000"
488,Grace Charity,Financial Aid Programme 92,Seniors,Health & medical,32708,"$200,000 to $500,000"
489,Community Hub,Support Programme 35,Children & Youth,After-School Care,43,"$10,000 to $20,000"
490,Bridge Welfare Society,Community Programme 59,Adults,Health & medical,40342,">$500,000"
491,Bridge Limited,Rehabilitation Programme 68,Seniors,Social isolation,34622,">$500,000"
492,Grace Support Services,Mentoring Programme 95,Adults,Mental health,373,"$50,000 to $100,000"
493,United Alliance,Health Programme 22,Children & Youth,Financial & material assistance,4,"<$10,000"
494,Family Care Centre,Education Programme 24,Seniors,Personal development,120,"$200,000 to $500,000"
495,Care Community Services,Development Programme 59,Adults,Work & career,45,"$100,000 to $200,000"
496,Youth Community Services,Therapy Programme 11,Seniors,Housing & shelter,34033,">$500,000"
497,Care Initiative,Wellness Programme 21,Adults,Work & career,46,"$50,000 to $100,000"
498,United Mission,Outreach Programme 16,Adults,Financial & material assistance,442,"$50,000 to $100,000"
499,Sunshine Foundation,Financial Aid Programme 31,Adults,Early childhood,260,"$100,000 to $200,000"
500,Sunshine Network,Rehabilitation Programme 27,Adults,At-risk youth engagement,4,"<$10,000"
